2016-05-27 11:04:14 startup archives install
2016-05-27 11:04:17 install base-passwd:armhf <none> 3.5.37
2016-05-27 11:04:17 status half-installed base-passwd:armhf 3.5.37
2016-05-27 11:04:17 status unpacked base-passwd:armhf 3.5.37
2016-05-27 11:04:17 status unpacked base-passwd:armhf 3.5.37
2016-05-27 11:04:17 configure base-passwd:armhf 3.5.37 3.5.37
2016-05-27 11:04:17 status unpacked base-passwd:armhf 3.5.37
2016-05-27 11:04:17 status half-configured base-passwd:armhf 3.5.37
2016-05-27 11:04:18 status installed base-passwd:armhf 3.5.37
2016-05-27 11:04:18 startup archives install
2016-05-27 11:04:18 install base-files:armhf <none> 8+rpi1
2016-05-27 11:04:18 status half-installed base-files:armhf 8+rpi1
2016-05-27 11:04:18 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:18 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:18 configure base-files:armhf 8+rpi1 8+rpi1
2016-05-27 11:04:18 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:18 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:18 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:19 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:19 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:19 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:19 status unpacked base-files:armhf 8+rpi1
2016-05-27 11:04:19 status half-configured base-files:armhf 8+rpi1
2016-05-27 11:04:20 status installed base-files:armhf 8+rpi1
2016-05-27 11:04:20 startup archives install
2016-05-27 11:04:20 upgrade dpkg 1.17.26 1.17.26
2016-05-27 11:04:20 status half-configured dpkg 1.17.26
2016-05-27 11:04:20 status unpacked dpkg 1.17.26
2016-05-27 11:04:20 status half-installed dpkg 1.17.26
2016-05-27 11:04:20 status half-installed dpkg 1.17.26
2016-05-27 11:04:20 status unpacked dpkg 1.17.26
2016-05-27 11:04:20 status unpacked dpkg 1.17.26
2016-05-27 11:04:20 configure dpkg 1.17.26 1.17.26
2016-05-27 11:04:20 status unpacked dpkg 1.17.26
2016-05-27 11:04:20 status unpacked dpkg 1.17.26
2016-05-27 11:04:20 status unpacked dpkg 1.17.26
2016-05-27 11:04:20 status unpacked dpkg 1.17.26
2016-05-27 11:04:20 status unpacked dpkg 1.17.26
2016-05-27 11:04:20 status half-configured dpkg 1.17.26
2016-05-27 11:04:21 status installed dpkg 1.17.26
2016-05-27 11:04:21 startup archives install
2016-05-27 11:04:21 install libc6:armhf <none> 2.19-18+deb8u4
2016-05-27 11:04:21 status half-installed libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:21 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:21 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:21 configure libc6:armhf 2.19-18+deb8u4 2.19-18+deb8u4
2016-05-27 11:04:21 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:21 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:21 status half-configured libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:23 status installed libc6:armhf 2.19-18+deb8u4
2016-05-27 11:04:23 startup archives install
2016-05-27 11:04:23 install perl-base:armhf <none> 5.20.2-3+deb8u4
2016-05-27 11:04:23 status half-installed perl-base:armhf 5.20.2-3+deb8u4
2016-05-27 11:04:24 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-27 11:04:24 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-27 11:04:24 configure perl-base:armhf 5.20.2-3+deb8u4 5.20.2-3+deb8u4
2016-05-27 11:04:24 status unpacked perl-base:armhf 5.20.2-3+deb8u4
2016-05-27 11:04:24 status half-configured perl-base:armhf 5.20.2-3+deb8u4
2016-05-27 11:04:24 status installed perl-base:armhf 5.20.2-3+deb8u4
2016-05-27 11:04:24 startup archives install
2016-05-27 11:04:25 install mawk:armhf <none> 1.3.3-17
2016-05-27 11:04:25 status half-installed mawk:armhf 1.3.3-17
2016-05-27 11:04:25 status unpacked mawk:armhf 1.3.3-17
2016-05-27 11:04:25 status unpacked mawk:armhf 1.3.3-17
2016-05-27 11:04:25 configure mawk:armhf 1.3.3-17 1.3.3-17
2016-05-27 11:04:25 status unpacked mawk:armhf 1.3.3-17
2016-05-27 11:04:25 status half-configured mawk:armhf 1.3.3-17
2016-05-27 11:04:25 status installed mawk:armhf 1.3.3-17
2016-05-27 11:04:25 startup archives install
2016-05-27 11:04:25 install debconf:all <none> 1.5.56
2016-05-27 11:04:25 status half-installed debconf:all 1.5.56
2016-05-27 11:04:25 status unpacked debconf:all 1.5.56
2016-05-27 11:04:25 status unpacked debconf:all 1.5.56
2016-05-27 11:04:25 configure debconf:all 1.5.56 1.5.56
2016-05-27 11:04:25 status unpacked debconf:all 1.5.56
2016-05-27 11:04:25 status unpacked debconf:all 1.5.56
2016-05-27 11:04:25 status unpacked debconf:all 1.5.56
